Time,StudentID,Gender,EthnicGroup,ParentEduc,LunchType,TestPrep,ReadingScore,WritingScore,PredictedMathScore,MathScore
2024-11-14 00:00:00.000000000,21861,Female,5,Some High School,Standard,Not completed,76,76,67.0,73
2024-11-14 00:01:17.174659887,1278,Male,3,Bachelors,Standard,Completed,95,93,67.0,98
2024-11-14 00:02:34.349319774,19134,Female,2,Some College,Standard,Not completed,51,57,67.0,52
2024-11-14 00:03:51.523979661,4577,Male,2,Some High School,Free or Reduced,Not completed,52,43,67.0,39
2024-11-14 00:05:08.698639549,29547,Male,3,Some High School,Free or Reduced,Not completed,51,48,67.0,61
2024-11-14 00:06:25.873299436,17950,Female,3,Some High School,Standard,Completed,90,91,67.0,79
2024-11-14 00:07:43.047959323,5461,Female,2,High School,Free or Reduced,Not completed,72,69,67.0,58
2024-11-14 00:09:00.222619211,14111,Female,0,High School,Standard,Not completed,63,61,67.0,58
2024-11-14 00:10:17.397279098,10217,Female,2,Bachelors,Free or Reduced,Not completed,67,67,67.0,48
2024-11-14 00:11:34.571938985,10855,Male,1,Some High School,Standard,Not completed,62,53,67.0,63
2024-11-14 00:12:51.746598873,24612,Male,2,Some College,Standard,Not completed,59,55,67.0,60
2024-11-14 00:14:08.921258760,20158,Male,2,Some College,Standard,Completed,75,73,67.0,85
2024-11-14 00:15:26.095918647,9489,Male,2,Associates,Free or Reduced,Completed,68,69,67.0,81
2024-11-14 00:16:43.270578535,14802,Male,3,Masters,Standard,Completed,62,68,67.0,66
2024-11-14 00:18:00.445238422,22266,Female,3,Some College,Standard,Completed,83,83,67.0,68
2024-11-14 00:19:17.619898309,17035,Female,5,Some High School,Standard,Not completed,60,59,67.0,62
2024-11-14 00:20:34.794558197,9252,Male,3,Masters,Standard,Not completed,91,95,67.0,90
2024-11-14 00:21:51.969218084,2683,Male,3,Some High School,Standard,Not completed,64,62,67.0,86
2024-11-14 00:23:09.143877971,11309,Female,0,High School,Standard,Completed,60,64,67.0,53
2024-11-14 00:24:26.318537859,16591,Male,3,High School,Free or Reduced,Completed,68,63,67.0,60
2024-11-14 00:25:43.493197746,16949,Female,2,Some College,Free or Reduced,Not completed,57,47,67.0,39
2024-11-14 00:27:00.667857633,12434,Female,2,Bachelors,Standard,Not completed,89,90,67.0,86
2024-11-14 00:28:17.842517520,18134,Female,1,Bachelors,Free or Reduced,Completed,94,95,67.0,82
2024-11-14 00:29:35.017177408,28747,Male,3,Bachelors,Standard,Not completed,91,83,67.0,91
2024-11-14 00:30:52.191837295,24016,Male,5,Some High School,Free or Reduced,Completed,61,62,67.0,69
2024-11-14 00:32:09.366497182,21926,Male,1,Associates,Standard,Not completed,72,72,67.0,76
2024-11-14 00:33:26.541157070,17389,Female,3,Some High School,Standard,Completed,77,78,67.0,64
2024-11-14 00:34:43.715816957,9685,Male,3,Some High School,Standard,Not completed,62,64,67.0,66
2024-11-14 00:36:00.890476844,16470,Male,1,Associates,Standard,Completed,60,55,67.0,63
2024-11-14 00:37:18.065136732,19943,Female,2,High School,Standard,Not completed,73,72,67.0,80
2024-11-14 00:38:35.239796619,4156,Female,2,Bachelors,Standard,Completed,96,100,67.0,97
2024-11-14 00:39:52.414456506,20661,Female,5,Associates,Standard,Completed,84,83,67.0,82
2024-11-14 00:41:09.589116394,24644,Male,1,Associates,Free or Reduced,Completed,53,54,67.0,59
2024-11-14 00:42:26.763776281,17476,Male,5,Some High School,Standard,Completed,100,95,67.0,100
2024-11-14 00:43:43.938436168,17612,Male,2,Some High School,Standard,Completed,80,76,67.0,86
2024-11-14 00:45:01.113096056,16750,Female,1,Some College,Free or Reduced,Not completed,65,55,67.0,42
2024-11-14 00:46:18.287755943,25972,Male,1,Associates,Free or Reduced,Not completed,56,55,67.0,57
2024-11-14 00:47:35.462415830,27360,Male,3,Some College,Standard,Not completed,62,59,67.0,76
2024-11-14 00:48:52.637075718,26772,Female,1,High School,Free or Reduced,Not completed,67,63,67.0,56
2024-11-14 00:50:09.811735605,2497,Male,1,Some High School,Standard,Not completed,53,50,67.0,61
2024-11-14 00:51:26.986395492,27125,Male,5,Masters,Standard,Not completed,74,75,67.0,90
2024-11-14 00:52:44.161055379,17523,Female,0,Bachelors,Standard,Not completed,67,69,67.0,62
2024-11-14 00:54:01.335715267,24934,Female,2,High School,Standard,Completed,98,96,67.0,86
2024-11-14 00:55:18.510375154,26941,Female,1,High School,Free or Reduced,Not completed,69,66,67.0,67
2024-11-14 00:56:35.685035041,21169,Male,1,Some High School,Free or Reduced,Not completed,59,53,67.0,64
2024-11-14 00:57:52.859694929,3931,Female,3,High School,Standard,Not completed,66,62,67.0,71
2024-11-14 00:59:10.034354816,17314,Female,3,Masters,Standard,Completed,75,77,67.0,68
2024-11-14 01:00:27.209014703,11021,Female,3,High School,Free or Reduced,Not completed,40,36,67.0,29
2024-11-14 01:01:44.383674591,18573,Female,0,High School,Standard,Completed,87,90,67.0,77
