Time,StudentID,Gender,EthnicGroup,ParentEduc,LunchType,TestPrep,ReadingScore,WritingScore,PredictedMathScore,MathScore
2024-11-12 00:00:00.000000000,25150,Female,5,Some College,Free or Reduced,Not completed,80,79,74.0,74
2024-11-12 00:01:52.867406923,7970,Female,1,High School,Standard,Not completed,80,78,71.0,70
2024-11-12 00:03:45.734813847,13224,Female,2,Associates,Standard,Completed,86,89,76.0,75
2024-11-12 00:05:38.602220770,4212,Male,5,Some College,Standard,Completed,74,69,84.0,88
2024-11-12 00:07:31.469627694,6456,Male,1,Some High School,Standard,Completed,73,76,77.0,79
2024-11-12 00:09:24.337034617,19891,Female,2,Bachelors,Standard,Not completed,58,66,56.0,61
2024-11-12 00:11:17.204441541,24777,Female,2,Some High School,Standard,Not completed,82,80,72.0,77
2024-11-12 00:13:10.071848465,9524,Male,5,Some College,Free or Reduced,Not completed,72,64,67.0,56
2024-11-12 00:15:02.939255388,23496,Male,3,Associates,Standard,Completed,82,82,85.0,84
2024-11-12 00:16:55.806662312,11694,Male,5,Bachelors,Standard,Not completed,76,71,86.0,90
2024-11-12 00:18:48.674069235,2708,Male,3,Some College,Standard,Not completed,70,67,73.0,80
2024-11-12 00:20:41.541476159,21415,Female,3,High School,Free or Reduced,Completed,58,59,49.0,42
2024-11-12 00:22:34.408883082,6514,Female,5,High School,Standard,Completed,57,61,52.0,56
2024-11-12 00:24:27.276290006,4662,Female,3,Masters,Standard,Completed,93,97,85.0,84
2024-11-12 00:26:20.143696930,20405,Female,3,Some High School,Standard,Completed,85,88,75.0,70
2024-11-12 00:28:13.011103853,1854,Male,0,Some High School,Standard,Not completed,59,46,59.0,62
2024-11-12 00:30:05.878510777,3072,Female,1,High School,Free or Reduced,Not completed,44,44,39.0,39
2024-11-12 00:31:58.745917700,19256,Male,1,Associates,Standard,Completed,80,82,84.0,84
2024-11-12 00:33:51.613324624,19414,Female,0,Masters,Standard,Completed,80,90,80.0,83
2024-11-12 00:35:44.480731548,25781,Female,5,Some High School,Standard,Completed,84,90,82.0,85
2024-11-12 00:37:37.348138471,14755,Female,2,Bachelors,Free or Reduced,Not completed,72,70,59.0,54
2024-11-12 00:39:30.215545395,1645,Female,1,Some High School,Free or Reduced,Not completed,57,60,49.0,51
2024-11-12 00:41:23.082952318,3417,Male,2,High School,Standard,Not completed,65,61,70.0,71
2024-11-12 00:43:15.950359242,3476,Male,3,High School,Standard,Not completed,59,63,70.0,72
2024-11-12 00:45:08.817766165,29957,Female,2,High School,Free or Reduced,Completed,67,65,54.0,47
2024-11-12 00:47:01.685173089,11053,Female,2,Associates,Free or Reduced,Not completed,73,65,57.0,60
2024-11-12 00:48:54.552580013,1792,Male,0,Associates,Standard,Completed,65,64,69.0,64
2024-11-12 00:50:47.419986936,13718,Female,1,Some High School,Free or Reduced,Not completed,32,36,31.0,33
2024-11-12 00:52:40.287393860,15114,Female,5,Some College,Standard,Not completed,92,92,86.0,92
2024-11-12 00:54:33.154800783,3797,Female,1,Some High School,Standard,Completed,81,88,75.0,80
2024-11-12 00:56:26.022207707,3368,Female,0,Some College,Standard,Not completed,86,82,72.0,68
2024-11-12 00:58:18.889614630,11559,Female,1,Associates,Standard,Completed,100,100,92.0,90
2024-11-12 01:00:11.757021554,28109,Male,1,High School,Free or Reduced,Completed,70,67,71.0,65
2024-11-12 01:02:04.624428478,7196,Female,1,Some High School,Standard,Not completed,58,51,46.0,47
2024-11-12 01:03:57.491835401,30104,Male,2,High School,Standard,Not completed,83,77,85.0,88
2024-11-12 01:05:50.359242325,21493,Female,0,Some College,Standard,Completed,99,98,90.0,96
2024-11-12 01:07:43.226649248,22408,Male,2,High School,Standard,Not completed,67,67,73.0,79
2024-11-12 01:09:36.094056172,11641,Female,0,Some College,Free or Reduced,Completed,57,58,48.0,49
2024-11-12 01:11:28.961463096,8795,Male,3,Bachelors,Free or Reduced,Not completed,47,56,55.0,52
2024-11-12 01:13:21.828870019,27632,Male,2,Associates,Free or Reduced,Not completed,51,42,51.0,50
2024-11-12 01:15:14.696276943,29564,Male,2,Some College,Standard,Not completed,80,70,84.0,82
2024-11-12 01:17:07.563683866,126,Male,1,Some High School,Standard,Not completed,68,67,73.0,72
2024-11-12 01:19:00.431090790,5959,Male,1,Some High School,Standard,Completed,47,48,53.0,55
2024-11-12 01:20:53.298497713,20260,Female,3,Some College,Standard,Completed,67,72,60.0,53
2024-11-12 01:22:46.165904637,27511,Female,2,High School,Standard,Not completed,77,77,69.0,68
